totSNR,epLat,epLon,evDp,epTime,lat,lon,elev,filePathE,filePathN,filePathZ
12.69,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,14.734971,-61.146311,467.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.FDF.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
11.76,-22.36,-68.69,118.7,2010-03-04T22:09:29.819998Z,35.402599,-5.1525,111.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM04..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM04..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM04..BHZ__20100304T220929Z__20100304T230929Z.mseed
10.19,-22.36,-68.69,118.7,2010-03-04T22:09:29.819998Z,35.144798,-4.7082,253.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM08..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM08..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM08..BHZ__20100304T220929Z__20100304T230929Z.mseed
9.96,-22.36,-68.69,118.7,2010-03-04T22:09:18.395000Z,33.2981,-7.4133,230.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/WM.AVE..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/WM.AVE..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/WM.AVE..BHZ__20100304T220929Z__20100304T230929Z.mseed
9.57,-22.36,-68.69,118.7,2010-03-04T22:09:29.800001Z,35.227501,-4.9863,711.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM07..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM07..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/XB.PM07..BHZ__20100304T220929Z__20100304T230929Z.mseed
8.07,-22.36,-68.69,118.7,2010-03-04T22:09:13.175000Z,38.867168,-7.590169,410.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PM.PESTR..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PM.PESTR..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PM.PESTR..BHZ__20100304T220929Z__20100304T230929Z.mseed
15.62,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,22.79149,5.52838,1410.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/G.TAM.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
11.19,-22.36,-68.69,118.7,2010-03-04T22:09:29.811001Z,7.546667,4.45692,283.8,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHZ__20100304T220929Z__20100304T230929Z.mseed
14.29,-22.36,-68.69,118.7,2010-03-04T22:09:29.802301Z,10.4305,7.64028,679.1,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHZ__20100304T220929Z__20100304T230929Z.mseed
24.33,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,6.19232,-0.36842,212.4,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHZ__20100304T220929Z__20100304T230929Z.mseed
28.59,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,5.88136,0.04389,82.2,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHZ__20100304T220929Z__20100304T230929Z.mseed
25.68,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,6.67016,-4.85656,125.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.DBIC.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
44.16,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,3.87,11.456,717.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHZ__20100304T220929Z__20100304T230929Z.mseed
13.5,-22.36,-68.69,118.7,2010-03-04T22:09:29.845000Z,-22.5667,17.1,1728.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHZ__20100304T220929Z__20100304T230929Z.mseed
13.56,-22.36,-68.69,118.7,2010-03-04T22:09:29.845000Z,-28.323,27.625,1486.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHZ__20100304T220929Z__20100304T230929Z.mseed
15.22,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-28.6141,25.2555,1305.8,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.BOSA.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
18.7,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-25.0151,25.59665,1128.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GT.LBTB.00.BHZ__20100304T220929Z__20100304T230929Z.mseed
9.5,-22.36,-68.69,118.7,2010-03-04T22:09:29.846900Z,-69.006699,39.584999,20.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PS.SYO..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PS.SYO..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/PS.SYO..BHZ__20100304T220929Z__20100304T230929Z.mseed
16.07,-22.36,-68.69,118.7,2010-03-04T22:08:54.948400Z,-70.925,-7.393,442.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHZ__20100304T220929Z__20100304T230929Z.mseed
10.18,-22.36,-68.69,118.7,2010-03-04T22:09:20.128400Z,-71.242,-9.666,566.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHZ__20100304T220929Z__20100304T230929Z.mseed
9.23,-22.36,-68.69,118.7,2010-03-04T22:09:17.945000Z,-71.6707,-2.8379,846.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/GE.SNAA..BHZ__20100304T220929Z__20100304T230929Z.mseed
36.83,-22.36,-68.69,118.7,2010-03-04T22:09:29.824998Z,-81.184097,51.158798,3774.6,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.GM05..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.GM05..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.GM05..BHZ__20100304T220929Z__20100304T230929Z.mseed
27.61,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-82.008598,96.769203,3569.1,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N140..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N140..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N140..BHZ__20100304T220929Z__20100304T230929Z.mseed
25.26,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-85.6124,-68.5525,1513.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.PECA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.PECA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.PECA..BHZ__20100304T220929Z__20100304T230929Z.mseed
25.18,-22.36,-68.69,118.7,2010-03-04T22:09:29.800001Z,-78.904503,59.994301,3548.9,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N215..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N215..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.N215..BHZ__20100304T220929Z__20100304T230929Z.mseed
24.16,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-82.753998,28.583401,2932.0,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.AGO3..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.AGO3..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/ZM.AGO3..BHZ__20100304T220929Z__20100304T230929Z.mseed
51.78,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-81.4065,-113.1508,1655.3,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST03..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST03..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/YT.ST03..BHZ__20100304T220929Z__20100304T230929Z.mseed
